Particulars,Category,matched_term,match_score
Pollution Test - Twister,BIKE EXPENSES (ALL VEHICLE RELATED),pollution test,0.92
Puncture repair and Tube,BIKE EXPENSES (ALL VEHICLE RELATED),tube,0.92
Seat cover for bike Maintanance,BIKE EXPENSES (ALL VEHICLE RELATED),bike maintanance,0.92
Twister Tyre puncture repair,BIKE EXPENSES (ALL VEHICLE RELATED),tyre,0.92
Tyre changing charge,BIKE EXPENSES (ALL VEHICLE RELATED),tyre,0.92
Tyre for Discovery,BIKE EXPENSES (ALL VEHICLE RELATED),tyre,0.92
Water Filter Maintanance,BIKE EXPENSES (ALL VEHICLE RELATED),discover maintanance,0.6818
bike brake lever,BIKE EXPENSES (ALL VEHICLE RELATED),brake lever,0.92
bike chain tightening,BIKE EXPENSES (ALL VEHICLE RELATED),chain tightening,0.92
bike clutch wire,BIKE EXPENSES (ALL VEHICLE RELATED),clutch wire,0.92
bike insurance KL51 C 26021,BIKE EXPENSES (ALL VEHICLE RELATED),insurance bike,0.9
bike new tube,BIKE EXPENSES (ALL VEHICLE RELATED),tube,0.92
bike pa proKL51D 2637 POLLUTION TEST,BIKE EXPENSES (ALL VEHICLE RELATED),pollution test,0.92
bike pollution test,BIKE EXPENSES (ALL VEHICLE RELATED),pollution test,0.92
bike puncture making passion pro,BIKE EXPENSES (ALL VEHICLE RELATED),passion pro maintenance,0.6
bike puncture work,BIKE EXPENSES (ALL VEHICLE RELATED),puncture repair,0.6061
bike repair,BIKE EXPENSES (ALL VEHICLE RELATED),both bike repair,0.92
bike repair 27/3/25,BIKE EXPENSES (ALL VEHICLE RELATED),both bike repair,0.6286
bike repair and service,BIKE EXPENSES (ALL VEHICLE RELATED),both bike repair,0.6
bike repair oil top,BIKE EXPENSES (ALL VEHICLE RELATED),both bike repair,0.6286
bike repair pa pro new,BIKE EXPENSES (ALL VEHICLE RELATED),both bike repair,0.6
bike transport,BIKE EXPENSES (ALL VEHICLE RELATED),bike transport,1.0
bike tube changing work,BIKE EXPENSES (ALL VEHICLE RELATED),tube,0.92
bike tyre,BIKE EXPENSES (ALL VEHICLE RELATED),tyre,0.92
bike tyre puncture,BIKE EXPENSES (ALL VEHICLE RELATED),tyre,0.92
both bike repair,BIKE EXPENSES (ALL VEHICLE RELATED),both bike repair,1.0
"dicover bike chain kit, bearingand repair",BIKE EXPENSES (ALL VEHICLE RELATED),chain kit labour,0.6
dicover bike tyre tube,BIKE EXPENSES (ALL VEHICLE RELATED),tyre,0.92
discover KL 53 C 7038 Insurance,BIKE EXPENSES (ALL VEHICLE RELATED),discover maintanance,0.5882
discover bike clutch wire &labour charge,BIKE EXPENSES (ALL VEHICLE RELATED),clutch wire,0.92
discover bike insurance,BIKE EXPENSES (ALL VEHICLE RELATED),insurance bike,0.9
discover bike repair,BIKE EXPENSES (ALL VEHICLE RELATED),both bike repair,0.7222
discover bike transportation from SKpuram,BIKE EXPENSES (ALL VEHICLE RELATED),bike transport,0.92
duplicate key passion pro,BIKE EXPENSES (ALL VEHICLE RELATED),duplicate key,0.92
eng veg transport,BIKE EXPENSES (ALL VEHICLE RELATED),bike transport,0.7097
engine oil 5 ltr,BIKE EXPENSES (ALL VEHICLE RELATED),engine oil,0.92
fuse wire,BIKE EXPENSES (ALL VEHICLE RELATED),clutch wire,0.6
helmet 2pc,BIKE EXPENSES (ALL VEHICLE RELATED),helmet,0.92
insurance discover,BIKE EXPENSES (ALL VEHICLE RELATED),insurance bike,0.75
manoj bike repair,BIKE EXPENSES (ALL VEHICLE RELATED),both bike repair,0.7879
new tube and tyre fixing charges,BIKE EXPENSES (ALL VEHICLE RELATED),tyre,0.92
old mobile repair,BIKE EXPENSES (ALL VEHICLE RELATED),both bike repair,0.7273
pa pro 2 duplicate key,BIKE EXPENSES (ALL VEHICLE RELATED),duplicate key,0.92
pa pro bike repair,BIKE EXPENSES (ALL VEHICLE RELATED),both bike repair,0.7647
"pa pro chain kit ,liner and labour charge",BIKE EXPENSES (ALL VEHICLE RELATED),chain kit labour,0.9
pa pro chain kit and labour charge,BIKE EXPENSES (ALL VEHICLE RELATED),chain kit labour,0.9
pa pro chain kit and labour charge battery charging,BIKE EXPENSES (ALL VEHICLE RELATED),battery charging,0.92
pa pro maintanance,BIKE EXPENSES (ALL VEHICLE RELATED),passion pro maintenance,0.8293
pa pro repair maintanance,BIKE EXPENSES (ALL VEHICLE RELATED),passion pro maintenance,0.7083
pa pro tube changing,BIKE EXPENSES (ALL VEHICLE RELATED),tube,0.92
pa pro tyre 2 and fitting charges,BIKE EXPENSES (ALL VEHICLE RELATED),tyre,0.92
pa pro tyre and tube,BIKE EXPENSES (ALL VEHICLE RELATED),tyre,0.92
painter labour charge,BIKE EXPENSES (ALL VEHICLE RELATED),chain kit labour,0.5946
passion pro chain new,BIKE EXPENSES (ALL VEHICLE RELATED),passion pro maintenance,0.7727
passion pro new repair charges,BIKE EXPENSES (ALL VEHICLE RELATED),passion pro maintenance,0.6038
passion pro polution,BIKE EXPENSES (ALL VEHICLE RELATED),passion pro maintenance,0.6512
passion pro puncture repair,BIKE EXPENSES (ALL VEHICLE RELATED),puncture repair,0.92
passion pro registration,BIKE EXPENSES (ALL VEHICLE RELATED),passion pro maintenance,0.6383
passion pro tyre tube second hand,BIKE EXPENSES (ALL VEHICLE RELATED),tyre,0.92
second hand tyre,BIKE EXPENSES (ALL VEHICLE RELATED),tyre,0.92
temperory tyre tube pa pro,BIKE EXPENSES (ALL VEHICLE RELATED),tyre,0.92
transport,BIKE EXPENSES (ALL VEHICLE RELATED),bike transport,0.92
transport (eng veg),BIKE EXPENSES (ALL VEHICLE RELATED),bike transport,0.5806
transport pizza pan,BIKE EXPENSES (ALL VEHICLE RELATED),bike transport,0.5455
two tyre fixing charges,BIKE EXPENSES (ALL VEHICLE RELATED),tyre,0.92
tyre fitting 2 bikes,BIKE EXPENSES (ALL VEHICLE RELATED),tyre,0.92
tyre passion pro,BIKE EXPENSES (ALL VEHICLE RELATED),tyre,0.92
Cleaning Towel,CLEANING & WASTE,cleaning towel,1.0
Cleaning liquid,CLEANING & WASTE,cleaning liquid,1.0
FLOOR cleaner/hand wash,CLEANING & WASTE,floor cleaner,0.92
Micro fibre cloth,CLEANING & WASTE,micro fibre cloth,1.0
Soap powder,CLEANING & WASTE,soap powder,1.0
Waste Pickup,CLEANING & WASTE,waste pickup,1.0
Waste Pickup 2 days,CLEANING & WASTE,waste pickup,0.92
Waste Pickup 3days,CLEANING & WASTE,waste pickup,0.92
Wipping Cloth,CLEANING & WASTE,wiping cloth,0.96
extendable glass mop with wiper,CLEANING & WASTE,mop,0.92
floor cleaner 5 ltr,CLEANING & WASTE,floor cleaner,0.92
glass film sticker work,CLEANING & WASTE,glass wiper,0.5294
glass wiper,CLEANING & WASTE,glass wiper,1.0
plastic waste disposal,CLEANING & WASTE,plastic waste disposal,1.0
waste,CLEANING & WASTE,waste pickup,0.92
waste burning drum & transport,CLEANING & WASTE,waste burning drum,0.92
waste pick up,CLEANING & WASTE,waste pickup,0.96
waste pickup agreement expenses,CLEANING & WASTE,waste pickup,0.92
Balloon arch,DECORATION & EVENTS,balloon arch,1.0
Decoration,DECORATION & EVENTS,decoration,1.0
Light and Decoration,DECORATION & EVENTS,light decoration,0.95
balloon decoration,DECORATION & EVENTS,balloon decoration,1.0
baloon Decoration,DECORATION & EVENTS,balloon decoration,0.9714
deewali pooja /ladoo,DECORATION & EVENTS,deewali pooja,0.92
kitchen staff holi,DECORATION & EVENTS,kitchen staff holi,1.0
misccelleneous expense( pooram donation),DECORATION & EVENTS,pooram donation,0.92
pooja expences,DECORATION & EVENTS,pooja expenses,0.9286
xmas star 2 pc,DECORATION & EVENTS,xmas star,0.92
xmas tree,DECORATION & EVENTS,xmas tree,1.0
Amelia French Fries,FOOD RAW MATERIAL PURCHASE,french fries,0.92
Boneless chicken,FOOD RAW MATERIAL PURCHASE,boneless chicken,1.0
Boneless chicken 18/11,FOOD RAW MATERIAL PURCHASE,boneless chicken,0.92
Butter,FOOD RAW MATERIAL PURCHASE,butter,1.0
Butter And Paneer,FOOD RAW MATERIAL PURCHASE,butter and paneer,1.0
Butter Paneer,FOOD RAW MATERIAL PURCHASE,butter and paneer,0.95
Chicken,FOOD RAW MATERIAL PURCHASE,chicken,1.0
Chicken Pattambi,FOOD RAW MATERIAL PURCHASE,chicken,0.92
Chikku pulp 3,FOOD RAW MATERIAL PURCHASE,chikku pulp,0.92
Corn Meal,FOOD RAW MATERIAL PURCHASE,corn meal,1.0
Dry yeast 10 pkt,FOOD RAW MATERIAL PURCHASE,dry yeast,0.92
Ice Cream,FOOD RAW MATERIAL PURCHASE,ice cream,1.0
Ice Cube,FOOD RAW MATERIAL PURCHASE,ice cube,1.0
Ice-Cream,FOOD RAW MATERIAL PURCHASE,ice cream,1.0
Ice-Cube,FOOD RAW MATERIAL PURCHASE,ice cube,1.0
Ice-Cube BIO COVER,FOOD RAW MATERIAL PURCHASE,ice cube,0.92
Isha english vegetables,FOOD RAW MATERIAL PURCHASE,vegetables,0.92
Local Purchase maida milk egg,FOOD RAW MATERIAL PURCHASE,milk,0.92
Milk,FOOD RAW MATERIAL PURCHASE,milk,1.0
Mutton,FOOD RAW MATERIAL PURCHASE,mutton,1.0
Paneer,FOOD RAW MATERIAL PURCHASE,paneer,1.0
Paneer And Butter,FOOD RAW MATERIAL PURCHASE,butter and paneer,0.95
Paneer cheruthuruthy bill issue,FOOD RAW MATERIAL PURCHASE,paneer,0.92
Pasta,FOOD RAW MATERIAL PURCHASE,pasta,1.0
Staff Chicken,FOOD RAW MATERIAL PURCHASE,staff chicken,1.0
Staff Chicken 2 weeks,FOOD RAW MATERIAL PURCHASE,staff chicken,0.92
Tissue,FOOD RAW MATERIAL PURCHASE,tissue,1.0
Transportation Charge hisham vegetables,FOOD RAW MATERIAL PURCHASE,vegetables,0.92
"Transportation Charge(maida ,eng veg)",FOOD RAW MATERIAL PURCHASE,maida,0.92
auto charge maida and loading,FOOD RAW MATERIAL PURCHASE,maida,0.92
berry fresh fruit pulp,FOOD RAW MATERIAL PURCHASE,fruit pulp,0.92
bio cover,FOOD RAW MATERIAL PURCHASE,bio cover,1.0
bone less chicken 24/1,FOOD RAW MATERIAL PURCHASE,chicken,0.92
bone less chicken 25/1,FOOD RAW MATERIAL PURCHASE,chicken,0.92
boneless chicken,FOOD RAW MATERIAL PURCHASE,boneless chicken,1.0
boneless chicken 16th & 17th,FOOD RAW MATERIAL PURCHASE,boneless chicken,0.92
boneless chicken 17/12,FOOD RAW MATERIAL PURCHASE,boneless chicken,0.92
boneless chicken 27th and 28th,FOOD RAW MATERIAL PURCHASE,boneless chicken,0.92
boneless chicken 28th and 29th,FOOD RAW MATERIAL PURCHASE,boneless chicken,0.92
boneless chicken15/12,FOOD RAW MATERIAL PURCHASE,boneless chicken,0.92
bonelesschicken,FOOD RAW MATERIAL PURCHASE,chicken,0.92
bonelesschicken  4kg@260,FOOD RAW MATERIAL PURCHASE,chicken,0.92
bonelesschicken 2.1KG@270/-,FOOD RAW MATERIAL PURCHASE,chicken,0.92
bonelesschicken 25th & 27th,FOOD RAW MATERIAL PURCHASE,chicken,0.92
burger buns,FOOD RAW MATERIAL PURCHASE,burger buns,1.0
"chiku, coconut pulp",FOOD RAW MATERIAL PURCHASE,tender coconut pulp,0.7027
choco chips flipkart,FOOD RAW MATERIAL PURCHASE,choco chips,0.92
chocolate chips flipkart,FOOD RAW MATERIAL PURCHASE,choco chips,0.6286
cooking oil,FOOD RAW MATERIAL PURCHASE,cooking oil,1.0
disposible glass,FOOD RAW MATERIAL PURCHASE,disposable glass,0.9375
egg,FOOD RAW MATERIAL PURCHASE,egg,1.0
egg n veg,FOOD RAW MATERIAL PURCHASE,egg,0.92
eng vegetables,FOOD RAW MATERIAL PURCHASE,vegetables,0.92
english vegetables,FOOD RAW MATERIAL PURCHASE,english vegetables,1.0
flipkart ice cream scoop,FOOD RAW MATERIAL PURCHASE,ice cream,0.92
fruit pulp,FOOD RAW MATERIAL PURCHASE,fruit pulp,1.0
grocery,FOOD RAW MATERIAL PURCHASE,grocery,1.0
hisham eng vegetables,FOOD RAW MATERIAL PURCHASE,vegetables,0.92
hybrid tomato,FOOD RAW MATERIAL PURCHASE,hybrid tomato,1.0
ice cream,FOOD RAW MATERIAL PURCHASE,ice cream,1.0
ice cream chocolate 2 box,FOOD RAW MATERIAL PURCHASE,ice cream,0.92
isha eng vegetables,FOOD RAW MATERIAL PURCHASE,vegetables,0.92
isham eng vegetables,FOOD RAW MATERIAL PURCHASE,vegetables,0.92
maida,FOOD RAW MATERIAL PURCHASE,maida,1.0
maida 100kg,FOOD RAW MATERIAL PURCHASE,maida,0.92
maida 50kg and oil,FOOD RAW MATERIAL PURCHASE,maida,0.92
maida n oil,FOOD RAW MATERIAL PURCHASE,maida,0.92
maida prince 30kg,FOOD RAW MATERIAL PURCHASE,maida,0.92
milk,FOOD RAW MATERIAL PURCHASE,milk,1.0
milk and curd,FOOD RAW MATERIAL PURCHASE,milk,0.92
milk and ice cubes,FOOD RAW MATERIAL PURCHASE,ice cube,0.92
milk egg,FOOD RAW MATERIAL PURCHASE,milk,0.92
mustard oil,FOOD RAW MATERIAL PURCHASE,mustard oil,1.0
paneer,FOOD RAW MATERIAL PURCHASE,paneer,1.0
pulp chikoo tender coconut,FOOD RAW MATERIAL PURCHASE,tender coconut pulp,0.9
salted peanuts,FOOD RAW MATERIAL PURCHASE,salted peanuts,1.0
sauce dispencer 1 ltr 2pc,FOOD RAW MATERIAL PURCHASE,sauce dispenser,0.7
ss maida stainer,FOOD RAW MATERIAL PURCHASE,maida,0.92
staff chicken,FOOD RAW MATERIAL PURCHASE,staff chicken,1.0
staff chicken 2 weeks,FOOD RAW MATERIAL PURCHASE,staff chicken,0.92
staff kattil 3pc,FOOD RAW MATERIAL PURCHASE,staff rice,0.6154
staff rice 26kg,FOOD RAW MATERIAL PURCHASE,staff rice,0.92
staff rice/ maida,FOOD RAW MATERIAL PURCHASE,maida,0.92
surabi maida,FOOD RAW MATERIAL PURCHASE,maida,0.92
"surabi maida, staff rice",FOOD RAW MATERIAL PURCHASE,maida,0.92
tender coconut pulp,FOOD RAW MATERIAL PURCHASE,tender coconut pulp,1.0
tender coconut pulp 2,FOOD RAW MATERIAL PURCHASE,tender coconut pulp,0.95
transport eng lish vegetables,FOOD RAW MATERIAL PURCHASE,vegetables,0.92
vegetable,FOOD RAW MATERIAL PURCHASE,vegetables,0.9474
vegetables,FOOD RAW MATERIAL PURCHASE,vegetables,1.0
vegetables 18/11,FOOD RAW MATERIAL PURCHASE,vegetables,0.92
yeast dry,FOOD RAW MATERIAL PURCHASE,dry yeast,0.95
Discover Petrol,GAS & FUEL,petrol,0.92
GAS,GAS & FUEL,hp gas,0.92
Gas,GAS & FUEL,hp gas,0.92
Gas HP,GAS & FUEL,hp gas,0.95
Gas HP 2cylinder,GAS & FUEL,hp gas,0.9
Gas Indian,GAS & FUEL,gas indian,1.0
Gas stove and fittings,GAS & FUEL,gas stove,0.92
Generator Petrol,GAS & FUEL,generator petrol,1.0
HP GAS,GAS & FUEL,hp gas,1.0
HP GAS 2 cylinder,GAS & FUEL,hp gas,0.92
HP GAS 2Cylinder 18/11,GAS & FUEL,hp gas,0.92
Petrol,GAS & FUEL,petrol,1.0
Petrol 2 bikes,GAS & FUEL,petrol,0.92
Petrol Boxer,GAS & FUEL,petrol,0.92
Petrol Discover,GAS & FUEL,petrol,0.92
Petrol Generator,GAS & FUEL,generator petrol,0.95
Petrol Generator and bike,GAS & FUEL,petrol,0.92
Petrol Jayan,GAS & FUEL,petrol,0.92
Petrol Pa pro old and new,GAS & FUEL,petrol,0.92
Petrol Passion Pro,GAS & FUEL,petrol,0.92
Petrol Passion Pro new,GAS & FUEL,petrol,0.92
Petrol Passion Pro old,GAS & FUEL,petrol,0.92
Petrol Pulsar,GAS & FUEL,petrol,0.92
Petrol Shibil,GAS & FUEL,petrol,0.92
Petrol Twister,GAS & FUEL,petrol,0.92
Petrol Twsiter,GAS & FUEL,petrol,0.92
Petrol bottle,GAS & FUEL,petrol,0.92
Pulsar Petrol,GAS & FUEL,petrol,0.92
Twister Petrol,GAS & FUEL,petrol,0.92
diesel to burn plastic waste,GAS & FUEL,diesel,0.92
fuel passion pro new,GAS & FUEL,fuel charges,0.9
gas pipe,GAS & FUEL,gas pipe,1.0
generator technician engine oil and petrol charges,GAS & FUEL,petrol,0.92
hashim bike fuel charges,GAS & FUEL,fuel charges,0.92
hisham petrol,GAS & FUEL,petrol,0.92
hp gas,GAS & FUEL,hp gas,1.0
hp gas 2,GAS & FUEL,hp gas,0.92
hp gas 2 cylinder,GAS & FUEL,hp gas,0.92
new gas stove connecting work,GAS & FUEL,gas stove,0.92
petrol,GAS & FUEL,petrol,1.0
petrol discover,GAS & FUEL,petrol,0.92
petrol generator and bike,GAS & FUEL,petrol,0.92
petrol siyad,GAS & FUEL,petrol,0.92
rauf petrol,GAS & FUEL,petrol,0.92
Generator Rent,GENERATOR EXPENSES,generator rent,1.0
Transportation Charge generator,GENERATOR EXPENSES,generator transportation,0.95
generator Repairing Charges,GENERATOR EXPENSES,generator repair,0.92
generator plug 2 pc,GENERATOR EXPENSES,generator plug,0.92
generator plug flipkart,GENERATOR EXPENSES,generator plug,0.92
generator plug from pkd,GENERATOR EXPENSES,generator plug,0.92
generator purchase balance amount,GENERATOR EXPENSES,generator purchase balance,0.95
generator repair balance,GENERATOR EXPENSES,generator repair,0.92
generator technician,GENERATOR EXPENSES,generator technician charges,0.95
Documentation Work,"LICENSE, TAX & GOVERNMENT FEES",documentation work,1.0
FSSAI,"LICENSE, TAX & GOVERNMENT FEES",fssai renewal,0.92
FSSI Certificate Renewal,"LICENSE, TAX & GOVERNMENT FEES",fssai certificate,0.7805
Gst,"LICENSE, TAX & GOVERNMENT FEES",gst,1.0
KHRA membership,"LICENSE, TAX & GOVERNMENT FEES",khra membership,1.0
KVVES,"LICENSE, TAX & GOVERNMENT FEES",kvves,1.0
License Document Works,"LICENSE, TAX & GOVERNMENT FEES",license renewal,0.5946
License Renewal,"LICENSE, TAX & GOVERNMENT FEES",license renewal,1.0
Petpooja Renewal,"LICENSE, TAX & GOVERNMENT FEES",fssai renewal,0.6207
Solar- Fabrication work,"LICENSE, TAX & GOVERNMENT FEES",documentation work,0.6
Stamp paper and Notery,"LICENSE, TAX & GOVERNMENT FEES",stamp paper,0.92
frame for FSSAI certificate and loocos ad,"LICENSE, TAX & GOVERNMENT FEES",fssai certificate,0.92
"haritha karmasena,licence service","LICENSE, TAX & GOVERNMENT FEES",haritha karmasena,0.92
municipal health officer,"LICENSE, TAX & GOVERNMENT FEES",municipal health officer,1.0
municipal professional tax,"LICENSE, TAX & GOVERNMENT FEES",professional tax,0.92
municipality license charges,"LICENSE, TAX & GOVERNMENT FEES",municipality license,0.95
professional tax,"LICENSE, TAX & GOVERNMENT FEES",professional tax,1.0
shop licence,"LICENSE, TAX & GOVERNMENT FEES",shop license,0.9167
water testing FSSAI LICENCE RENEWAL,"LICENSE, TAX & GOVERNMENT FEES",fssai renewal,0.9
Local Purchase,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,1.0
Local Purchase 13/6,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,0.92
Local Purchase 14/6,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,0.92
Local Purchase 15th,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,0.92
Local Purchase Pooja items,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase pooja items,1.0
Local Purchase12/6/25,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,0.92
Local purchase,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,1.0
Local purchase 18/11,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,0.92
local purchase,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,1.0
local purchase 11/6/25,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,0.92
local purchase 15/12,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,0.92
local purchase 17th 18th 19th,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,0.92
local purchase 19th 20th 21st,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,0.92
local purchase 2/2/26,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,0.92
local purchase 23/12,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,0.92
local purchase 3/2/26,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,0.92
local purchase 5-12-25,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),local purchase,0.92
A C Water Service,MAINTENANCE – SHOP & EQUIPMENT,ac service,0.7407
A/C service,MAINTENANCE – SHOP & EQUIPMENT,ac service,0.9524
A/C service n gas charging,MAINTENANCE – SHOP & EQUIPMENT,ac gas charging,0.7317
A/C switch changing work,MAINTENANCE – SHOP & EQUIPMENT,switch repair,0.5405
Ac Repair,MAINTENANCE – SHOP & EQUIPMENT,ac repair,1.0
CCTV Advance,MAINTENANCE – SHOP & EQUIPMENT,cctv maintenance,0.7143
CCTV Camera install and service,MAINTENANCE – SHOP & EQUIPMENT,cctv installation,0.5833
CCTV Maintenance,MAINTENANCE – SHOP & EQUIPMENT,cctv maintenance,1.0
CCTV Maintenance work amount reimbursed to Arjun,MAINTENANCE – SHOP & EQUIPMENT,cctv maintenance,0.92
Chair Welding charges,MAINTENANCE – SHOP & EQUIPMENT,chair welding,0.95
Door Closer,MAINTENANCE – SHOP & EQUIPMENT,door closer,1.0
Door Installation Charges,MAINTENANCE – SHOP & EQUIPMENT,door installation,0.95
Drinking Water Testing Charges,MAINTENANCE – SHOP & EQUIPMENT,water lab testing,0.6
Electrical Maintanance,MAINTENANCE – SHOP & EQUIPMENT,electrical maintenance,0.9545
LED Bulb,MAINTENANCE – SHOP & EQUIPMENT,led bulb,1.0
Make Line Repair,MAINTENANCE – SHOP & EQUIPMENT,makeline chiller repair,0.7692
Makeline chiller repair,MAINTENANCE – SHOP & EQUIPMENT,makeline chiller repair,1.0
Mixi Jar Repair,MAINTENANCE – SHOP & EQUIPMENT,mixer jar repair,0.9032
Oven Service,MAINTENANCE – SHOP & EQUIPMENT,oven service,1.0
Paint,MAINTENANCE – SHOP & EQUIPMENT,shutter paint,0.92
Paint for Table and Chair,MAINTENANCE – SHOP & EQUIPMENT,table paint,0.9
Project work - Maintenance,MAINTENANCE – SHOP & EQUIPMENT,cctv maintenance,0.7
RO Machine repair n service,MAINTENANCE – SHOP & EQUIPMENT,ro machine repair,0.92
Shop Sign Board Cleanimng Charges,MAINTENANCE – SHOP & EQUIPMENT,sign board electric work,0.5614
TV repair & service,MAINTENANCE – SHOP & EQUIPMENT,oven service,0.6897
WATER TANK CLEANING,MAINTENANCE – SHOP & EQUIPMENT,water tank cleaning,1.0
ajay advance for wooden pizza holder,MAINTENANCE – SHOP & EQUIPMENT,wooden pizza server,0.6
cash drawer repair,MAINTENANCE – SHOP & EQUIPMENT,chiller repair,0.6875
cctv power supply,MAINTENANCE – SHOP & EQUIPMENT,cctv power supply,1.0
chiller condenser motor,MAINTENANCE – SHOP & EQUIPMENT,chiller repair,0.5405
chiller repair,MAINTENANCE – SHOP & EQUIPMENT,chiller repair,1.0
chiller technician,MAINTENANCE – SHOP & EQUIPMENT,deep freezer technician,0.6341
